Telegram Update ID,Telegram Chatroom ID,Telegram Chatroom Name,Telegram Message ID,Contributor Name,Project Name,Contribution Made,Rubric classification,TDGs Provisioned,Status,"TDGs Issued
(reviewed by Governor) ",Status date,"Main Ledger 
Line Number",Scoring Hash Key,Telegram File IDs,Edgar Signature Verification,External API call status,External API call response
Edgar_20250930193410_139,-1002190388985,Edgar Direct,Edgar_20250930193410_140,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 5
- Description: Speaking with kirsten about having her handle the roasting, cracking, winnowing and melangering in her kitchen 
- Contributor(s): Gary Teh
- TDG Issued: 8.33
- Attached Filename: IMG_2746.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20250930193407_gary_teh_img_2746.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: bXrjlgvzM0ZZk3jPg60DKuXAtH5CCwG902dXPMJC1FfmviOnI+PcCOZhAoBHhTXYqxhPjj7fxuJ0T+MH3jiyIN7+sK6tMVBbAmVMm7pvyAZEDfOEFQZHCWiYl5FITZ2v75/oyZlO1fSG5U1AmjmuJrrzQ20Q+yhBTXqHnW4mJWqDbj5aUncPS/KBPEWVNGII521RsCmRcUipincLdEPc2VnjlBm9wx0UEKx42XiWlvZEHC9X+odeuCL0NRE1fYJS376E3c6UCyPLuioE4PB556zM92T/5zAUd54U3DMUXce53Nq9Z3slt7BxZoef89HxOYc5CiH0nyG5IAYjLZALKA==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20250930,,ZumH70TlF4RM7UwUq+Jm,,success,,
Edgar_20251001025156_141,-1002190388985,Edgar Direct,Edgar_20251001025156_142,Edgar,,"[DAO Inventory Expense Event]
- DAO Member Name: Matheus Reis
- Latitude: NA
- Longitude: NA
- Inventory Type: Brazilian Reis
- Inventory Quantity: 80
- Description: I've spent 80 reais with fuel to visit CIC and deliver the beans.
- Attached Filename: IMG-20250930-WA0244.jpg
- Destination Expense File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20251001025154_matheus_reis_img_20250930_wa0244.jpg
- Submission Source: https://dapp.truesight.me/report_dao_expenses.html
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6ZczaX6AGlJ+M46Oa+ehrqYNp45cPfU3OKbU9kjVr1w5iA8/7H3qLxCnzRiyyCdBaebSwGBXMlKgzLx4AIvWJX+5/VvLbP1eoyAH5NoYlm9VGlNh6ILlCUalTHbGWS1W1kiV7qIpkMSYgZ6sUrMpB7DZDTqH0LZHBRqXsRewRaQcwVYb4dR6/FtqgQvCP0R+bMo6gFnAv1OZF/6sW1RSXftNpHov4r1R1yJY7zuz34AParz1SHo2S8Lfx9x6LKG0WHG5pZ9OUkIKQYguUEo+kDBfUx8ZQbxETmFGqbrx+eUOQWrDyePXRo5k+8YnfOoBuMahZLqkseHovqXjMWu8EQIDAQAB

Request Transaction ID: NOUdY0T553jMKjKTw7HTCZZ5iuGpmrBaxjT5ZRVm3kizogPDCP9jzKAxc6+KieDeMn6CwV2fURrDHA0U6Qk3mZ7b0nkciH87HK+2sOYCB+KCZx7hILsMOcRRnAvUZxvOfIY4W9eIE0oI8KTWyWh8wGQJVWvHIvcgtNiRKOtGoRSEJH3/NPZ0ViIWTyJiCTaq0xZ/aed4uUSTrw9fM709Us0LIDQlf38GwoDzTkZ84w0/td9RrQETL5QuJJRsCUSJB03tLva9EhPyl6TBr5KHLNA+MyQnZfoDmwSXb0khLOkJzhdGl7L8rdYRaQu9+9NDA6BgTo26pWtf7OyfPu9Csg==

This submission was generated using https://dapp.truesight.me/report_dao_expenses.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251001,,1CUf01sJPAMsyUKnBYLA,,success,,
Edgar_20251001030416_143,-1002190388985,Edgar Direct,Edgar_20251001030416_144,Edgar,,"[DAO Inventory Expense Event]
- DAO Member Name: Matheus Reis
- Latitude: -14.792793
- Longitude: -39.041767
- Inventory Type: Brazilian Reis
- Inventory Quantity: 78.78
- Description: I've spent 78.78 reais for fuel to pick up the beans on CIC. 
- Attached Filename: Screenshot_20250910_101253_WhatsApp.jpg
- Destination Expense File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/expense_20251001030413_matheus_reis_screenshot_20250910_101253_whatsapp.jpg
- Submission Source: https://dapp.truesight.me/report_dao_expenses.html
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6ZczaX6AGlJ+M46Oa+ehrqYNp45cPfU3OKbU9kjVr1w5iA8/7H3qLxCnzRiyyCdBaebSwGBXMlKgzLx4AIvWJX+5/VvLbP1eoyAH5NoYlm9VGlNh6ILlCUalTHbGWS1W1kiV7qIpkMSYgZ6sUrMpB7DZDTqH0LZHBRqXsRewRaQcwVYb4dR6/FtqgQvCP0R+bMo6gFnAv1OZF/6sW1RSXftNpHov4r1R1yJY7zuz34AParz1SHo2S8Lfx9x6LKG0WHG5pZ9OUkIKQYguUEo+kDBfUx8ZQbxETmFGqbrx+eUOQWrDyePXRo5k+8YnfOoBuMahZLqkseHovqXjMWu8EQIDAQAB

Request Transaction ID: cRsz7U7IJz3T2+sjhZcnS4EGcLveFUE3T4d+6A0wdcXTJicp5Wc4TceyBZvr4R5NPigWYP6oibtktEadzH9/D/X4ElD4vrGZLOr27bC25dIy3TSdq+I/wvSd++MOFr3mlp/vwQUQLM1UuC5AMfNo34n9bKLfRDNv6gte2wxVMhUSjLhRFoHTlYR5BAHqFtNmCSq28tuJW3rN87nKYm8HuT2Y3uwa1YyS/yXD4Ig0WXLWAkKYZfoSv7rdDy64hbS+AmKJC0h6HG2+b3AOPbyaj2IldZvPnIr6mr1DNHkEl1mGdPDm9bG0VhogxUG7LZ2wsYJm2zjLIm3uLac/Ewpkbw==

This submission was generated using https://dapp.truesight.me/report_dao_expenses.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251001,,VVN+WzWrspZ5JkZYwdw6,,success,,
469027787,-1002190388985,TrueSight DAO,7454,garyjob,,"[NOTARIZATION EVENT]
Submitter: Gary Teh
Latitude: -14.279546
Longitude: -38.992361
Document Type: Manufacturer's invoice
Description: Santos converting 24kg of cacao beans to 90 200 gram cacao bars on 24th Sep 2025.
Attached Filename: santos_invoice_batch_2.pdf
Destination Notarized File Location: https://github.com/TrueSightDAO/notarizations/20250930162335_gary_teh_santos_invoice_batch_2.pdf
Submission Source: https://dapp.truesight.me/notarize.html
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA54jNZdN4xkaPDI9TB/RwuicbbUMvttOWSTVRfvZxiHWeIoqTHRz2WJdoGsuW9rz9QPbpz6T9zQZu3RNzsSF216U3aCd89R2g7qhOMh9VC+7+sNJnI6H4qPPKFbndxQD8262Q+zqYQR6r0k89mud1sYbla/DCtKAcGZsALihVyl8tF2v1rUzfPU9FHpi5ow2kOEpVxnhe6xEY1HDU/zuFRt707WzkG1zit4AWEBXyBd3YLyinPNAb2aBA6dSPnPAQ4aB46Dtis3p5DgkLeO7E4gh/E0BqViDkkB1tLy1dgy9Kjv+5zxo1yTxkBKACjqqo69Q0VrUfkXgegWmXBAu04wIDAQAB

Request Transaction ID: ocsSmRoMJu0wlit/pPlvqWqHUexXjKNkUfVJ6iZH0yS7WwTCC+vvX+vbRoosBmnM3BE1fydmdDg64XwKifpIPVOhzW9fuKHTqXnpZbRPnOZ9Ds4d/CZMQbhEERIygYOEs3SrcYuVDYQwumfMFrXd3DurqDexaZdGyU3a83XBWXkWF71umskjU/6Lc+/mw9efhmmKAthjwj1sPCB3iKkkLQEeDKFQtXOrhb2CcUaXjRPNm6ovNxvZBj+3l5GFZWCFGTdHm46Uq9KC4MF+97ppOy3BOtU1R3XKfTKUWwH8wkafVQYx0+3VWilb+Zg90NERlAPZsvGBf3txD3e4KGc0mQ==

This submission was generated using https://dapp.truesight.me/notarize.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,0,Pending,,20250930,,JJ/HM8Ar7dYH707urAcV,,,,
Edgar_20251002033219_001,-1002190388985,Edgar Direct,Edgar_20251002033219_002,Edgar,,"[CONTRIBUTION EVENT]
- Type: Time (Minutes)
- Amount: 120
- Description: Meetup to deal with correois and inventory transfer 
- Contributor(s): Gary Teh, Matheus Reis
- TDG Issued: 200.00
- Attached Filename: IMG_2776.jpeg
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002033217_gary_teh_img_2776.jpeg
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: LXu36lEuFGX/rR4zXpGs6s++jJCAFT98QNm0vyegdQjlYE7lMTpD7zCzEmRgpEGqGS40lcHuGwLYiDUbjO5moIMjScnJQFOQHvQd5RiqFp8YaXu+GtstKmDxKNb+g9KJWfK32WgxCC8vm8KiH32+F5FEs/ukQWGWXXynesNCiDriiuJOwZBsRIHWN3AP3bdkiktlC7TbRnVfeHChyfi6s6WHrWEmvucrAJ179K0U6tKj3KdkzCG9Le0PbqTb9B31LFo41G4nI4N87VE15JbwlpiXB4qL1E2DZlgzDHhORY3gaW3TBO99mXyXqWB+Df8Aabp4sBHCtA6B4OpcbA10Xw==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,hbuOanK57scsDId6DHc9,,success,,
Edgar_20251002033636_003,-1002190388985,Edgar Direct,Edgar_20251002033636_004,Edgar,,"[INVENTORY MOVEMENT]
- Manager Name: Matheus Reis
- Recipient Name: Gary Teh
- Inventory Item: [AGL8] Ceremonial Cacao Kraft Pouch - 20250219006 | Cacao Mass | 200 grams | Paulo 2024 | Santos 018-2025 016-2025 || Ilheus - AGL8
- Quantity: 10
- Latitude: -14.807703
- Longitude: -39.024973
- Attached Filename: IMG_2776.jpeg
- Destination Inventory File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/inventory_20251002033633_gary_teh_img_2776.jpeg
- Submission Source: https://dapp.truesight.me/report_inventory_movement.html
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: qSDn3lpm3Gyuc/q9/FDsuNvmXrWzp5o2xhkcbguluAYn4ZLnN8YpQnO6E6qgQpTw5qYIKSpplOJPmu27IByvyet1MIcVkJFtxdZ4WmzfS4S5a1vQ62q0GYJh5H6xSZ4bhWVw1XBjEe5WfXo8YlGtNB5pl5kyhLJFYhNreqlDJFAnyP2B9jnD+duHAMNQamoz5zpa0u+xxyVmXkN/Rq3USWFEmBEk/Zeo8I5+V2ZKKmQaZLJWKyZWLNUw/pKBrzO0PJQ6yXIgbu5RQEyAgIWsIw2un0ALbpkR0DBhn+bpRIFsDyonKOHMm6RW4uzjOU3FiRQ6CLOFAc5fhYo73Zbkfg==

This submission was generated using https://dapp.truesight.me/report_inventory_movement.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,NwhO8G435QED+Wvy+oek,,success,,
Edgar_20251002034453_005,-1002190388985,Edgar Direct,Edgar_20251002034453_006,Edgar,,"[CONTRIBUTION EVENT]
- Type: USD
- Amount: 2.55
- Description: Ride to room 
- Contributor(s): Gary Teh
- TDG Issued: 2.55
- Attached Filename: IMG_2815.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002034451_gary_teh_img_2815.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: FBGEBYmi2wcSA4h1RgLKkaCrjuHpnXAizCmsd1nKjwlNNToZX5E+4nJEnQgRd47YoHvqzXcfISv8h4y6KV+8vx9+HDGAPPEMsexiM9EY7yRhhFXLH0Kntp5JWgJCKN7iyunWFjiEybsRwNx2v5CEaNgocNuiFzFAc/WiqBiM2CWgX6ilAOQIVU9zRnXI5vhTluIRLfxVtO1XupNWRCCME+RVvJh88/46LpEOmMO9OOXiFJYR9ewWO2pikQZLleZZrHAU16c2duJMoCFbDGkCTNIBtmjSzGkzZ4uuBm2K/rhB0RRRCk/an6ZjdPpiATgxYY8qil2OJD2Nu4FTZkwo4g==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,HyBn997Kqe/Is8hDPDie,,success,,
Edgar_20251002034534_007,-1002190388985,Edgar Direct,Edgar_20251002034534_008,Edgar,,"[CONTRIBUTION EVENT]
- Type: USD
- Amount: 2.05
- Description: Ride to warehouse 
- Contributor(s): Gary Teh
- TDG Issued: 2.05
- Attached Filename: IMG_2814.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002034532_gary_teh_img_2814.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: hb7BLwmce1taCYjk8fayu4f+QntxfPZiwfgcs2uA0IOKBC75wohodvKCtTJ+wZB1kavPlR8w/guXaLjiWWhQR1WV3x5cMCe6uBToY1czRacuGpmaseg8pwnXiIxODt5ajK5ziX9ZW7ffdLRv7cWjvpgy4vUJktvxWpSl7ob6pt+Vzl8bKQBbgO3l9ykBqZVMbmyt+Djy15WtYwd0+aCOVjzVEJTF4RfTGDW8/xqFA7Zk6SSC8TxFFD683oF8VT9MJeaoMT09VAFUw6FzB65tPIqxWUN8LzL3ao9L38zgUeXKSvv8UYjmYGOp8dkDACSz8Akbl7ZNI7jU5ENWj5nh8A==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,iaUmHVjXJzADy6AeE0sJ,,success,,
Edgar_20251002034627_009,-1002190388985,Edgar Direct,Edgar_20251002034627_010,Edgar,,"[CONTRIBUTION EVENT]
- Type: USD
- Amount: 24.44
- Description: Stay for the night in Ilheus 
- Contributor(s): Gary Teh
- TDG Issued: 24.44
- Attached Filename: IMG_2817.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002034626_gary_teh_img_2817.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: i1FFiGoGASyTZuPUd5wisOmIwLdrMY//Pu590YD9YmO72XJOmy8Xs7HjSH9QPM5fpZ7KfI+y5WHm1MtKTZQZq6Edtf97nUUsC6uNmtzzSMGzEL5uElx8r7JifP03tVIqyvF9LkbHj8pLOMeR/haRrUbUJtedRzItoHNm8dVHP+YurIQrzaCL5cqgh3dw5422foWrUpbCR5geBczU3Vj62w/nLOB77swfYSjAflsDR5GXB8KIQyzHsKW+x1OH7I4mPYEXxI1qjabVd7HpImJRtoeYpB5Q6fnmkdRk4okflwk0yA4tBr8dAEdukX67SOhpn0s3q5fw2zceBOvunY9Mig==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,cfG+lqv9Y4T6DGQRsjmT,,success,,
Edgar_20251002034651_011,-1002190388985,Edgar Direct,Edgar_20251002034651_012,Edgar,,"[CONTRIBUTION EVENT]
- Type: USD
- Amount: 5.30
- Description: Bus ride from Itacare to Ilheus 
- Contributor(s): Gary Teh
- TDG Issued: 5.30
- Attached Filename: IMG_2816.png
- Destination Contribution File Location: https://github.com/TrueSightDAO/.github/tree/main/assets/contribution_20251002034651_gary_teh_img_2816.png
--------

My Digital Signature: MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB

Request Transaction ID: Tnh2OwTfnOGpyt0rcPVOlw9wWTtwGpM6oAf2Of/6x8+mEaR10z20zVhgNalBjI+p0jQemuY0Z6LDAHEbRUou2VBVajyLk69tC95kGj1RN4/pjOVZJIRAhNnaFhOUhFibeBdQvOFoDwqPiasPd6eA76WtPlREO8BCO1s2hwviHidEs57VVDGA/H11my5AeE/J92ZjEPVtwx1hPOWnXs9bK3wOjf8iJ09jrVOzcxgEH+CSsRn+8hg8HTGza5IeShEBFrZnecOI8D4XbL3UX1F3cUi1LGhXlUN33ya1ILOgHvdT3ezxWiEc5sBXuS4UihRApa7vd66mAEwsac57uIK5vA==

This submission was generated using https://dapp.truesight.me/report_contribution.html

Verify submission here: https://dapp.truesight.me/verify_request.html",Unknown,,Pending,,20251002,,1JXumAXj8nWvpOsYWtKP,,success,,
