Hashtag,Type,Usage Category,Notes
#cacao,General,Core Cacao & Farming,Core Set
#cação,General,Core Cacao & Farming,Core Set
#cacaobeans,General,Core Cacao & Farming,Core Set
#cacaofarm,Targeted,Core Cacao & Farming,Core Set
#cacaotree,Targeted,Core Cacao & Farming,Core Set
#cacaopod,Targeted,Core Cacao & Farming,Core Set
#beantobar,General,Quality & Origin,Core Set
#beantobarchocolate,General,Quality & Origin,Core Set
#cacaocriollo,Targeted,Quality & Origin,Core Set
#cacaodecalidad,Targeted,Quality & Origin,Core Set
#cacaofino,Targeted,Quality & Origin,Core Set
#cacaofinodearoma,Targeted,Quality & Origin,Core Set
#singleorigin,General,Quality & Origin,Core Set
#singleoriginchocolate,General,Quality & Origin,Core Set
#cacaonatural,Targeted,Natural/Organic & Pure,Core Set
#cacaoorganico,Targeted,Natural/Organic & Pure,Core Set
#cacaoorgánico,Targeted,Natural/Organic & Pure,Core Set
#cacaopuro,Targeted,Natural/Organic & Pure,Core Set
#cacaoceremonies,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaoceremony,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaohealing,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaomedicina,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaoritual,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaowisdom,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaozeremonie,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaozeremonien,Targeted,Ceremonies Rituals & Healing,Core Set
#cacaolove,General,Community & Lifestyle,Core Set
#cacaolovers,General,Community & Lifestyle,Core Set
#cacaoworkshop,Targeted,Community & Lifestyle,Core Set
#cacaodrink,Targeted,Products & Uses,Core Set
#cacaofruit,Targeted,Products & Uses,Core Set
#cacaojuice,Targeted,Products & Uses,Core Set
#cacaonibs,General,Products & Uses,Core Set
#cacaopowder,General,Products & Uses,Core Set
#cacaotea,Targeted,Products & Uses,Core Set
#chocolate,General,General Chocolate,High Frequency
#craftchocolate,General,Quality & Origin,High Frequency
#artisanchocolate,General,Quality & Origin,High Frequency
#darkchocolate,General,Products & Uses,High Frequency
#beantobarchocolatemaker,Targeted,Quality & Origin,High Frequency
#chocolover,General,Community & Lifestyle,High Frequency
#chocolatelover,General,Community & Lifestyle,High Frequency
#chocolatelovers,General,Community & Lifestyle,High Frequency
#chocolatemaker,General,Community & Lifestyle,High Frequency
#craftchocolatemaker,General,Quality & Origin,High Frequency
#cocoa,General,Core Cacao & Farming,High Frequency
#cocoabeans,General,Core Cacao & Farming,High Frequency
#chocolatebar,General,Products & Uses,Medium Frequency
#chocolatebars,General,Products & Uses,Medium Frequency
#whitechocolate,General,Products & Uses,Medium Frequency
#milkchocolate,General,Products & Uses,Medium Frequency
#hotchocolate,General,Products & Uses,Medium Frequency
#drinkingchocolate,Targeted,Products & Uses,Medium Frequency
#ceremonialcacao,Targeted,Ceremonies Rituals & Healing,Medium Frequency
#finechocolate,General,Quality & Origin,Medium Frequency
#specialtychocolate,General,Quality & Origin,Medium Frequency
#singleoriginchocolate,General,Quality & Origin,Medium Frequency
#bean2bar,General,Quality & Origin,Medium Frequency
#womeninchocolate,Targeted,Community & Lifestyle,Medium Frequency
#chocolateeducation,Targeted,Community & Lifestyle,Medium Frequency
#chocolatetasting,Targeted,Community & Lifestyle,Medium Frequency
#chocolatecourses,Targeted,Community & Lifestyle,Medium Frequency
#bakingchocolate,Targeted,Products & Uses,Medium Frequency
#beantobarbaking,Targeted,Products & Uses,Medium Frequency
#smallbatch,General,Quality & Origin,Medium Frequency
#slowbatchchocolate,Targeted,Quality & Origin,Medium Frequency
#vegan,General,Natural/Organic & Pure,Medium Frequency
#plantbasedchocolate,Targeted,Natural/Organic & Pure,Medium Frequency
#chocolatebonbon,General,Products & Uses,Medium Frequency
#bonbons,General,Products & Uses,Medium Frequency
#truffles,General,Products & Uses,Medium Frequency
#chocolatier,General,Community & Lifestyle,Medium Frequency
#homemadechocolates,General,Products & Uses,Medium Frequency
#handmadechocolates,General,Products & Uses,Medium Frequency
#cocoabutter,General,Products & Uses,Medium Frequency
#saltedcaramel,General,Products & Uses,Medium Frequency
#artisanchocolates,General,Quality & Origin,Medium Frequency
#makingchocolate,General,Community & Lifestyle,Medium Frequency
#howtomakechocolate,Targeted,Community & Lifestyle,Medium Frequency
#chocolateart,General,Community & Lifestyle,Medium Frequency
#chocolatemousse,General,Products & Uses,Medium Frequency
#chocolatechunk,General,Products & Uses,Medium Frequency
#blondies,General,Products & Uses,Medium Frequency
#chocolateforbreakfast,Targeted,Community & Lifestyle,Medium Frequency
#chocolateforlunch,Targeted,Community & Lifestyle,Medium Frequency
