"Shop Name","Status","Priority","Address","City","State","Shop Type","Phone","Website","Email","Instagram","Notes","Contact Date","Contact Method","Follow Up Date","Contact Person","Owner Name","Referral","Product Interest","Follow Up Event Link","Visit Date","Outcome","Sales Process Notes","Latitude","Longitude","Status Updated By","Status Updated Date"
"The Love of Ganesha","Partnered","Existing Partner","1700 Haight St","San Francisco","CA","Metaphysical/Spiritual","","","","","ACCEPTED - Bought outright (no consignment). Successful model - prefer outright purchase over consignment.","","","","","","","","","","Accepted - outright purchase","","37.7697069","-122.4504399","",""
"Kiki's Cocoa","Partnered","Existing Partner","1423 Hayes St","San Francisco","CA","Boutique Chocolate","","","","","Already a partner - ethically-sourced, single-origin","","","","","","","","","","","","37.7746386","-122.4398332","",""
"Green Gulch Zen Monastery","Partnered","Existing Partner","1601 Shoreline Highway","Muir Beach","CA","Spiritual/Zen Center","","","","","Partner - Buddhist practice center with organic farm and gardens","","","","","","","","","","","","37.866403","-122.565318","",""
"HackerDojo","Partnered","Existing Partner","855 Maude Ave","Mountain View","CA","Tech Community / Coworking","","","","","Partner - Collaborative hackerspace and tech community center","","","","","","","","","","","","37.3962356","-122.0491779","",""
"Miss Tomato Sandwiches and liquor","Partnered","Existing Partner","199 87th St","Daly City","CA","Restaurant/Liquor","","","","","Partner - Sandwiches and liquor","","","","","","","","","","","","37.693173","-122.472086","",""
"The Ponderosa","Partnered","Existing Partner","Slab City","Niland","CA","Unique/Lifestyle","","","","","Already a partner - off-grid, sustainability focus. Check if they want additional products.","","","","","","","","","","","","33.2464681","-115.4770366","",""
"East West Bookshop","Rejected","High","324 Castro St","Mountain View","CA","Metaphysical/Spiritual","","","","","REJECTED - Doesn't like consignment + needs 100% markup. Issue is pricing structure, not venue fit. Need to offer outright purchase + calculate wholesale price that allows 100% markup.","","","","","","","","","","Rejected - pricing/markup issue","","37.3922318","-122.080127","",""
"Infinity Coven","Contacted","High","447 Stockton St","San Francisco","CA","Metaphysical/Spiritual","(650) 420-5932","","admin@InfinityCoven.com","","Witchy boutique with spells, herbs, books, and community workshops near Union Square. Strong magic/empowerment focus—excellent prospect for ceremonial cacao placement.","","","","","","","","","","","[11/8/2025 14:55:58 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyC5HgVLODmtFQZiM91XKoZTPuaaOW8EWPf6Sv+0a74Ji7cSAjZEsYbHSKbg6k2qb8gWzxX3KuDZVTgjytbeM/P40k6b5Px3PcBbNXmMzznxG6UaiskP8dGp/bZMmygXFq9MbQ9vsGJ9AS2XtngSlJ9BEMxZo4/fKvxco+8fGTt02BIyqhJQ2KW/jHro0W8/nyhtY/2KcOKWjedt1MqVWMzKotXpPFVPfimAmsRqdFHKlyGzlTPALF1iBA7Zee1zfxeZWHYegADhTivp0Xf3gytcSZcAwGGRbOuCS69NT6G4P5YiZ/lw4a1DM1b22I0TY92dMlEI7wOQNmi0I2+iFpQIDAQAB] Infinity Coven
447 Stockton St
San Francisco, California 94108
(650) 420-5932
admin@InfinityCoven.com

[2025-11-08T16:13:51+00:00 | MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB] Contacted via email","37.7528109","-122.388333","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","11/8/2025"
"Paxton Gate","Not Appropriate","Medium","824 Valencia St","San Francisco","CA","Curiosity Shop","","","","","Curiosity shop blending natural history with metaphysical items (minerals, taxidermy, oddities). Eclectic bohemian vibe. Potential for cacao as unique regenerative addition.","","","","","","","","","","","","37.7596367","-122.4216659","MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1y5wLWcmZJ9qWdvJl7yoGj1wxR8fjxZVezo9IkwodBEZ6q2tIyKIpk8XyEokycPQ/M9ZocYr57manzU53Zh+V1DnvUnvHZpgSvPSw/wnBKuXNxg+1uy8h10X+2iBXsJBoK5cM20q1RxsGH4GBsDvPzLervRQVZPe12ht/VPVd0PbYPUBVVfs8q2KlaWrq7ZH4cJ0FHB1Km0cjgYs2rps0AgsyKseb8jCkQ788VFZwePZZzMRA6OXHCIuVFxbnAPZlNvckCFz+b2oM132aYaqgbkk2IgAbShxUuEwuv6yb2mQapsavUUShxMK8AHmyJ39v5lQ2xiTQTougTwTG5MzYwIDAQAB","11/8/2025"
"7 Rays Holistic Center","Research","High","3035 El Camino Real","Palo Alto","CA","Wellness Center","","","","","Offers reiki, crystal healing, metaphysical products (tarot, sacred geometry). Focus on energy work and personal growth. Suitable for cacao as ceremonial enhancement.","","","","","","","","","","","","37.421713","-122.1398505","",""
